	organism	tem_range
258	Clostridiisalibacter paucivorans Liebgott et al. 2008	thermophilic
259	Lutispora thermophila Shiratori et al. 2008	thermophilic
260	Sporosalibacterium faouarense Rezgui et al. 2011	thermophilic
261	Anaerosalibacter bizertensis Rezgui et al. 2012	thermophilic
262	Schlegelella thermodepolymerans Elbanna et al. 2003 emend. L&uuml;tke-Eversloh et al. 2004	thermophilic
263	Schlegelella thermodepolymerans Elbanna et al. 2003 emend. L&uuml;tke-Eversloh et al. 2004	thermophilic
264	Tepidicella xavieri Fran&ccedil;a et al. 2006	thermophilic
265	Flexistipes sinusarabici Fiala et al. 2000	thermophilic
266	Deferribacter desulfuricans Takai et al. 2003	thermophilic
267	Deferribacter thermophilus Greene et al. 1997	thermophilic
268	Deferribacter abyssi Miroshnichenko et al. 2003	thermophilic
269	Deferribacter abyssi Miroshnichenko et al. 2003	thermophilic
270	Deferribacter autotrophicus Slobodkina et al. 2009	thermophilic
271	Calditerrivibrio nitroreducens Iino et al. 2008	thermophilic
272	Deinococcus geothermalis Ferreira et al. 1997	thermophilic
273	Deinococcus geothermalis Ferreira et al. 1997	thermophilic
274	Deinococcus geothermalis Ferreira et al. 1997	thermophilic
275	Deinococcus murrayi Ferreira et al. 1997	thermophilic
276	Deinococcus murrayi Ferreira et al. 1997	thermophilic
277	Deinococcus murrayi Ferreira et al. 1997	thermophilic
278	Desulfonauticus submarinus Audiffrin et al. 2003	thermophilic
279	Desulfonauticus autotrophicus Mayilraj et al. 2009	thermophilic
280	Desulfothermus okinawensis Nunoura et al. 2007	thermophilic
281	Desulfothermus naphthae Kuever et al. 2006	thermophilic
282	Desulfomicrobium thermophilum Thevenieau et al. 2007	thermophilic
283	Desulfovibrio capillatus Miranda-Tello et al. 2013	thermophilic
284	Desulfovibrio bizertensis Haouari et al. 2006	thermophilic
285	Desulfovibrio alkalitolerans Abildgaard et al. 2006	thermophilic
286	Desulfurella acetivorans Bonch-Osmolovskaya et al. 1993	thermophilic
287	Desulfurella multipotens Miroshnichenko et al. 1996	thermophilic
288	Desulfurella sp.	thermophilic
289	Desulfurella propionica Miroshnichenko et al. 1998	thermophilic
290	Desulfurella kamchatkensis Miroshnichenko et al. 1998	thermophilic
291	Hippea maritima Miroshnichenko et al. 1999	thermophilic
292	Hippea maritima Miroshnichenko et al. 1999	thermophilic
293	Hippea maritima Miroshnichenko et al. 1999	thermophilic
294	Hippea jasoniae Flores et al. 2012	thermophilic
295	Hippea alviniae Flores et al. 2012	thermophilic
296	Dictyoglomus thermophilum Saiki et al. 1985	thermophilic
297	Dictyoglomus turgidum Svetlichny and Svetlichnay&agrave; 1995	thermophilic
298	Halorhodospira halochloris (Imhoff and Tr&uuml;per 1979) Imhoff and S&uuml;ling 1997	thermophilic
299	Porphyrobacter cryptus da Costa et al. 2003	thermophilic
300	Porphyrobacter tepidarius Hanada et al. 1997	thermophilic
301	Porphyrobacter cryptus da Costa et al. 2003	thermophilic
302	Garciella nitratireducens Miranda-Tello et al. 2003	thermophilic
303	Acidiplasma aeolicum Golyshina et al. 2009	thermophilic
304	Acidiplasma cupricumulans (Hawkes et al. 2008) Golyshina et al. 2009	thermophilic
305	Thermonema lapsum Hudson et al. 1989	thermophilic
306	Thermonema lapsum Hudson et al. 1989	thermophilic
307	Thermonema rossianum Nobre et al. 1997	thermophilic
308	Thermonema rossianum Nobre et al. 1997	thermophilic
309	Thermonema rossianum Nobre et al. 1997	thermophilic
310	Geothermobacter ehrlichii Kashefi et al. 2005	thermophilic
311	Halanaerobium congolense Ravot et al. 1998	thermophilic
312	Halobiforma haloterrestris Hezayen et al. 2002	thermophilic
313	Halomicrobium katesii Kharroub et al. 2008	thermophilic
314	Halorhabdus tiamatea Antunes et al. 2008	thermophilic
315	Natrinema salaciae Albuquerque  et al. 2012	thermophilic
316	Natrinema salaciae Albuquerque  et al. 2012	thermophilic
317	Halanaerobacter jeridensis Mezghani et al. 2012	thermophilic
318	Halonatronum saccharophilum Zhilina et al. 2001	thermophilic
319	Orenia sivashensis Zhilina et al. 2000	thermophilic
320	Halomonas sabkhae Kharroub et al. 2008	thermophilic
321	Thiofaba tepidiphila Mori and Suzuki 2008	thermophilic
322	Heliobacterium modesticaldum Kimble et al. 1996	thermophilic
323	Hydrogenophilus hirschii St&ouml;hr et al. 2001	thermophilic
324	Hydrogenophilus islandicus V&eacute;steinsd&oacute;ttir et al. 2011	thermophilic
325	Tepidiphilus succinatimandens (Bonilla Salinas et al. 2004) Poddar et al. 2014	thermophilic
326	Tepidiphilus margaritifer Manaia et al. 2003 emend. Poddar et al. 2014	thermophilic
327	Annwoodia aquaesulis (Wood and Kelly 1995) Boden et al. 2017	thermophilic
328	Dichotomicrobium thermohalophilum Hirsch and Hoffmann 1989	thermophilic
329	Dichotomicrobium thermohalophilum Hirsch and Hoffmann 1989	thermophilic
330	Dichotomicrobium thermohalophilum Hirsch and Hoffmann 1989	thermophilic
331	Anaerostipes butyraticus Eeckhaut et  al. 2010	thermophilic
332	Butyrivibrio hungatei Kopecny et al. 2003	thermophilic
333	Pseudobutyrivibrio xylanivorans Kopecny et al. 2003	thermophilic
334	Lactobacillus amylolyticus Bohak et al. 1999	thermophilic
335	Lactobacillus frumenti M&uuml;ller et al. 2000	thermophilic
336	Lactobacillus ingluviei Baele et al. 2003	thermophilic
337	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
338	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
339	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
340	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
341	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
342	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
343	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
344	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
345	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
346	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
347	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
348	Methanothermobacter thermautotrophicus (Zeikus and Wolfe 1972) Wasserfallen et al. 2000	thermophilic
349	Methanothermobacter wolfeii (Winter et al. 1985) Wasserfallen et al. 2000	thermophilic
350	Methanothermobacter thermophilus (Laurinavichus et al. 1990) Boone 2002	thermophilic
351	Methanothermobacter defluvii (Kotelnikova et al. 1994) Boone 2002	thermophilic
352	Methanothermobacter thermoflexus (Kotelnikova et al. 1994) Boone 2002	thermophilic
353	Methanothermobacter marburgensis Wasserfallen et al. 2000	thermophilic
354	Methanothermobacter crinale Cheng et al. 2012	thermophilic
355	Methanobacterium sp.	thermophilic
356	Methanobacterium thermaggregans Blotevogel and Fischer 1988	thermophilic
357	Methanobacterium aarhusense Shlimon et al. 2004	thermophilic
358	Methanobacterium kanagiense Kitamura et al. 2011	thermophilic
359	Methanotorris formicicus Takai et al. 2004	thermophilic
360	Methanococcus sp.	thermophilic
361	Methanococcus aeolicus Kendall et al. 2006	thermophilic
362	Methanothermococcus thermolithotrophicus (Huber et al. 1984) Whitman 2002	thermophilic
363	Methanothermococcus okinawensis Takai et al. 2002	thermophilic
364	Methanoculleus thermophilus (Rivard and Smith 1982) Maestroju&aacute;n et al. 1990 emend. Spring et al. 2005	thermophilic
365	Methanoculleus thermophilus (Rivard and Smith 1982) Maestroju&aacute;n et al. 1990 emend. Spring et al. 2005	thermophilic
366	Methanoculleus thermophilus (Rivard and Smith 1982) Maestroju&aacute;n et al. 1990 emend. Spring et al. 2005	thermophilic
367	Methanoculleus thermophilus (Rivard and Smith 1982) Maestroju&aacute;n et al. 1990 emend. Spring et al. 2005	thermophilic
368	Methanoculleus thermophilus (Rivard and Smith 1982) Maestroju&aacute;n et al. 1990 emend. Spring et al. 2005	thermophilic
369	Methanoculleus receptaculi Cheng et al. 2008	thermophilic
370	Methanothrix thermoacetophila Nozhevnikova and Chudina 1988	thermophilic
371	Methanothrix thermoacetophila Nozhevnikova and Chudina 1988	thermophilic
372	Methanothrix thermoacetophila Nozhevnikova and Chudina 1988	thermophilic
373	Methanomethylovorans thermophila Jiang et al. 2005	thermophilic
374	Methanosalsum zhilinae (Mathrani et al. 1988) Boone and Baker 2002	thermophilic
375	Methanohalobium evestigatum Zhilina and Zavarzin 1988	thermophilic
376	Methanosarcina sp.	thermophilic
377	Methanosarcina sp.	thermophilic
378	Methanosarcina sp.	thermophilic
379	Methanosarcina sp.	thermophilic
380	Methanosarcina sp.	thermophilic
381	Methanosarcina sp.	thermophilic
382	Methanosarcina sp.	thermophilic
383	Methanosarcina thermophila Zinder et al. 1985	thermophilic
384	Methanosarcina thermophila Zinder et al. 1985	thermophilic
385	Methanosarcina thermophila Zinder et al. 1985	thermophilic
386	Methanosarcina thermophila Zinder et al. 1985	thermophilic
387	Methanosarcina thermophila Zinder et al. 1985	thermophilic
388	Microvirga subterranea Kanso and Patel 2003	thermophilic
389	Mycobacterium xenopi Schwabacher 1959	thermophilic
390	Mycobacterium thermoresistibile Tsukamura 1966	thermophilic
391	Mycobacterium heckeshornense Roth et al. 2001	thermophilic
392	Mycobacterium heckeshornense Roth et al. 2001	thermophilic
393	Mycobacterium botniense Torkko et al. 2000	thermophilic
394	Mycobacterium botniense Torkko et al. 2000	thermophilic
395	Lebetimonas acidiphila Takai et al. 2005	thermophilic
396	Nitratiruptor tergarcus Nakagawa et al. 2005	thermophilic
397	Caminibacter hydrogeniphilus Alain et al. 2002	thermophilic
398	Caminibacter profundus Miroshnichenko et al. 2004	thermophilic
399	Caminibacter mediatlanticus Voordeckers et al. 2005	thermophilic
400	Nautilia lithotrophica Miroshnichenko et al. 2002	thermophilic
401	Nautilia profundicola Smith et al. 2008	thermophilic
402	Nautilia abyssi Alain et al. 2009	thermophilic
403	Thermodesulfovibrio yellowstonii Henry et al. 1994	thermophilic
404	Thermodesulfovibrio islandicus Sonne-Hansen and Ahring 2000	thermophilic
405	Thermodesulfovibrio hydrogeniphilus Haouari et al. 2009	thermophilic
406	Thermodesulfovibrio aggregans Sekiguchi et al. 2008	thermophilic
407	Thermodesulfovibrio thiophilus Sekiguchi et al. 2008	thermophilic
408	Thermasporomyces composti Yabe et al. 2011	thermophilic
409	Thermobifida fusca (McCarthy and Cross 1984) Zhang et al. 1998	thermophilic
410	Thermobifida fusca (McCarthy and Cross 1984) Zhang et al. 1998	thermophilic
411	Thermobifida fusca (McCarthy and Cross 1984) Zhang et al. 1998	thermophilic
412	Thermobifida fusca (McCarthy and Cross 1984) Zhang et al. 1998	thermophilic
413	Thermobifida fusca (McCarthy and Cross 1984) Zhang et al. 1998	thermophilic
414	Thermobifida cellulosilytica Kukolya et al. 2002	thermophilic
415	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
416	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
417	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
418	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
419	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
420	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
421	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
422	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
423	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
424	Aneurinibacillus thermoaerophilus (Meier-Stauffer et al. 1996) Heyndrickx et al. 1997	thermophilic
425	Aneurinibacillus danicus Goto et al. 2004	thermophilic
426	Aneurinibacillus terranovensis Allan et al. 2005	thermophilic
427	Brevibacillus brevis (Migula 1900) Shida et al. 1996	thermophilic
428	Brevibacillus thermoruber (Manachini et al. 1985) Shida et al. 1996	thermophilic
429	Brevibacillus agri (Nakamura 1993) Shida et al. 1996	thermophilic
430	Brevibacillus borstelensis (Shida et al. 1995) Shida et al. 1996	thermophilic
431	Brevibacillus limnophilus Goto et al. 2004	thermophilic
432	Brevibacillus aydinogluensis Inan et al. 2012	thermophilic
433	Cohnella laeviribosi Cho et al. 2007	thermophilic
434	Cohnella fontinalis Shiratori et al. 2010	thermophilic
435	Paenibacillus humicus Vaz-Moreira et al. 2007	thermophilic
436	Paenibacillus thermophilus Zhou et al. 2013	thermophilic
437	Thermobacillus composti Watanabe et al. 2007	thermophilic
438	Thermincola carboxydiphila Sokolova et al. 2005	thermophilic
439	Thermincola ferriacetica Zavarzina et al. 2007	thermophilic
440	Desulfotomaculum geothermicum Daumas et al. 1990	thermophilic
441	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
442	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
443	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
444	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
445	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
446	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
447	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
448	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965	thermophilic
449	Desulfotomaculum thermoacetoxidans Min and Zinder 1995	thermophilic
450	Desulfotomaculum kuznetsovii Nazina et al. 1990	thermophilic
451	Desulfotomaculum thermobenzoicum  subsp. thermobenzoicum Tasaki et al. 1991	thermophilic
452	Desulfotomaculum sp.	thermophilic
453	Desulfotomaculum sp.	thermophilic
454	Desulfotomaculum sp.	thermophilic
455	Desulfotomaculum sp.	thermophilic
456	Desulfotomaculum sp.	thermophilic
457	Desulfotomaculum sp.	thermophilic
458	Desulfotomaculum sp.	thermophilic
459	Desulfotomaculum sp.	thermophilic
460	Desulfotomaculum sp.	thermophilic
461	Desulfotomaculum thermosapovorans Fardeau et al. 1995	thermophilic
462	Desulfotomaculum thermocisternum Nilsen et al. 1996	thermophilic
463	Desulfotomaculum australicum Love et al. 1993	thermophilic
464	Desulfotomaculum alkaliphilum Pikuta et al. 2000	thermophilic
465	Desulfotomaculum putei Liu et al. 1997	thermophilic
466	Desulfotomaculum luciae Liu et al. 1997	thermophilic
467	Desulfotomaculum thermobenzoicum  subsp. thermosyntrophicum Plugge et al. 2002	thermophilic
468	Desulfotomaculum solfataricum Goorissen et al. 2003	thermophilic
469	Desulfotomaculum nigrificans (Werkman and Weaver 1927) Campbell and Postgate 1965 emend. Visser et al. 2014	thermophilic
470	Desulfotomaculum thermosubterraneum Kaksonen et al. 2006	thermophilic
471	Desulfotomaculum alcoholivorax Kaksonen et al. 2008	thermophilic
472	Desulfotomaculum hydrothermale Haouari et al. 2008	thermophilic
473	Pelotomaculum thermopropionicum Imachi et al. 2002	thermophilic
474	Pelotomaculum thermopropionicum Imachi et al. 2002	thermophilic
475	Desulfurispora thermophila Kaksonen et al. 2007	thermophilic
476	Tepidibacter thalassicus Slobodkin et al. 2003	thermophilic
477	Tepidibacter formicigenes Urios et al. 2004	thermophilic
478	Picrophilus oshimae Schleper et al. 1996	thermophilic
479	Picrophilus torridus Zillig et al. 1996	thermophilic
480	Sulfurivirga caldicuralii Takai et al. 2006	thermophilic
481	Petrimonas sulfuriphila Grabowski et al. 2005	thermophilic
482	Hydrogenophilus thermoluteolus Hayashi et al. 1999	thermophilic
483	Pseudomonas thermotolerans Manaia and Moore 2002	thermophilic
484	Amycolatopsis eurytherma Kim et al. 2002	thermophilic
485	Amycolatopsis eurytherma Kim et al. 2002	thermophilic
486	Amycolatopsis thermoflava Chun et al. 1999	thermophilic
487	Pseudonocardia thermophila Henssen 1957	thermophilic
488	Pseudonocardia thermophila Henssen 1957	thermophilic
489	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
490	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
491	Nonomuraea salmonea (Preobrazhenskaya et al. 1975) Zhang et al. 1998	thermophilic
492	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
493	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
494	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
495	Saccharomonospora viridis (Schuurmans et al. 1956) Nonomura and Ohara 1971	thermophilic
496	Saccharomonospora caesia	thermophilic
497	Saccharomonospora glauca Greiner-Mai et al. 1988	thermophilic
498	Saccharomonospora glauca Greiner-Mai et al. 1988	thermophilic
499	Saccharomonospora glauca Greiner-Mai et al. 1988	thermophilic
500	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
501	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
502	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
503	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
504	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
505	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
506	Saccharopolyspora rectivirgula (Krassilnikov and Agre 1964) Korn-Wendisch et al. 1989	thermophilic
507	Saccharopolyspora hordei Goodfellow et al. 1989	thermophilic
508	Saccharopolyspora hordei Goodfellow et al. 1989	thermophilic
509	Saccharopolyspora hordei Goodfellow et al. 1989	thermophilic
510	Saccharopolyspora thermophila Lu et al. 2001	thermophilic
511	Thermobispora bispora (Henssen 1957) Wang et al. 1996	thermophilic
512	Thermobispora bispora (Henssen 1957) Wang et al. 1996	thermophilic
513	Thermocrispum agreste Korn-Wendisch et al. 1995	thermophilic
